task_id,label,confidence,timestamp
ad1490b7,Clase_99,0.7237,2026-03-13T11:06:42.535622
01b8c28c,Clase_99,0.7253,2026-03-13T11:06:43.543879
919c459a,Clase_99,0.7221,2026-03-13T11:06:44.499621
884501b7,Clase_99,0.7244,2026-03-13T11:06:46.497513
c690317a,Clase_99,0.725,2026-03-13T11:06:52.670410
2f6664c8,Clase_99,0.7232,2026-03-13T11:06:57.313219
7f421b22,Clase_99,0.7262,2026-03-13T11:06:58.953048
4c0ed535,Clase_99,0.7278,2026-03-13T11:06:59.986078
38418d25,Clase_99,0.724,2026-03-13T11:07:01.265651
e564c9f5,Clase_99,0.7241,2026-03-13T11:07:02.859712
4a522a5e,Clase_99,0.7251,2026-03-13T11:07:03.952596
38bdd593,Clase_99,0.7285,2026-03-13T11:07:05.850537
67c6dc7d,Clase_99,0.7259,2026-03-13T11:07:08.088639
2925ecfe,Clase_99,0.7241,2026-03-13T11:07:09.893585
610ea299,Clase_99,0.7233,2026-03-13T11:07:10.910191
4e317058,Clase_99,0.7229,2026-03-13T11:07:11.906656
8c7b7628,Clase_99,0.7259,2026-03-13T11:07:12.973207
ca018511,Clase_99,0.725,2026-03-13T11:07:13.815939
b794577e,Clase_99,0.7231,2026-03-13T11:07:15.840676
bf027066,Clase_99,0.7255,2026-03-13T11:07:20.969325
6671d6a7,Clase_99,0.7253,2026-03-13T11:07:23.050357
aa991aa1,Clase_99,0.7257,2026-03-13T11:07:23.988554
7eb84ae8,Clase_99,0.7204,2026-03-13T11:07:26.967025
cd484135,Clase_99,0.7266,2026-03-13T11:07:28.014949
458c2fb8,Clase_99,0.7219,2026-03-13T11:07:30.094640
9786b756,Clase_99,0.722,2026-03-13T11:07:31.014066
8d952ff4,Clase_99,0.7223,2026-03-13T11:07:32.000918
678a1473,Clase_99,0.7295,2026-03-13T11:07:33.028274
4f3db6aa,Clase_99,0.7197,2026-03-13T11:07:36.120534
1b298b03,Clase_99,0.7241,2026-03-13T11:07:37.132609
47867f25,Clase_99,0.7266,2026-03-13T11:07:38.321940
5437b4da,Clase_99,0.7246,2026-03-13T11:07:39.407265
ebec89ed,Clase_99,0.7249,2026-03-13T11:07:42.587524
c48fd7c6,Clase_99,0.7214,2026-03-13T11:07:43.841919
2298aa75,Clase_99,0.7295,2026-03-13T11:07:44.129574
2024fbc7,Clase_99,0.7268,2026-03-13T11:07:45.222721
eee1a2f9,Clase_99,0.7233,2026-03-13T11:07:47.190345
fc395d7d,Clase_99,0.7266,2026-03-13T11:07:48.180040
3b9cbd10,Clase_99,0.7244,2026-03-13T11:07:52.343620
d91d6db0,Clase_99,0.7223,2026-03-13T11:07:58.990211
f4b7af8f,Clase_99,0.723,2026-03-13T11:07:59.387728
4fc8ad3a,Clase_99,0.7263,2026-03-13T11:08:03.406558
0186dc8e,Clase_99,0.7237,2026-03-13T11:08:07.391105
c117c1eb,Clase_99,0.7214,2026-03-13T11:08:08.331664
4cd2ed78,Clase_99,0.7257,2026-03-13T11:08:09.503558
def33847,Clase_99,0.7252,2026-03-13T11:08:45.119537
11b83eaf,Clase_99,0.7248,2026-03-13T11:08:45.402926
a9e2df10,Clase_99,0.7261,2026-03-13T11:08:45.663810
beec608a,Clase_99,0.7249,2026-03-13T11:08:45.926429
535dae95,Clase_99,0.7238,2026-03-13T11:08:46.220425
cf5b30a9,Clase_99,0.7242,2026-03-13T11:08:46.472645
36339bf2,Clase_99,0.7256,2026-03-13T11:08:46.703028
6f629df2,Clase_99,0.7277,2026-03-13T11:08:46.945941
0eaea710,Clase_99,0.7253,2026-03-13T11:08:47.181782
2560ed81,Clase_99,0.7226,2026-03-13T11:08:47.412421
22a6ed43,Clase_99,0.7238,2026-03-13T11:08:47.641648
17499f72,Clase_99,0.7241,2026-03-13T11:08:47.863028
580327c8,Clase_99,0.7251,2026-03-13T11:08:48.105263
7acc6eb0,Clase_99,0.7252,2026-03-13T11:08:48.329839
f62f4268,Clase_99,0.7248,2026-03-13T11:08:48.606391
b70ec166,Clase_99,0.7236,2026-03-13T11:08:48.854675
c2e65b26,Clase_99,0.7209,2026-03-13T11:08:49.775336
c5fb9c14,Clase_99,0.7225,2026-03-13T11:08:50.712038
4c7005fd,Clase_99,0.7269,2026-03-13T11:08:51.813287
975b677a,Clase_99,0.7245,2026-03-13T11:08:52.700388
865029af,Clase_99,0.7221,2026-03-13T11:08:54.843615
e50af9ee,Clase_99,0.7241,2026-03-13T11:08:56.738491
0b39f71c,Clase_99,0.7284,2026-03-13T11:08:57.738796
9ab0bf4f,Clase_99,0.7277,2026-03-13T11:08:59.696116
a1551bcd,Clase_99,0.7219,2026-03-13T11:09:00.865552
1f96b293,Clase_99,0.7249,2026-03-13T11:09:03.256127
5201b40d,Clase_99,0.7246,2026-03-13T11:09:04.286578
6d5b729d,Clase_99,0.7261,2026-03-13T11:09:06.241896
8adfa0d2,Clase_99,0.7272,2026-03-13T11:09:07.857137
2bc619eb,Clase_99,0.7235,2026-03-13T11:09:10.846315
efec2996,Clase_99,0.7271,2026-03-13T11:09:11.876015
ea10616a,Clase_99,0.7246,2026-03-13T11:09:15.881423
e467f8f1,Clase_99,0.727,2026-03-13T11:09:23.083841
e13a656b,Clase_99,0.7257,2026-03-13T11:09:23.976935
84ab14ce,Clase_99,0.7253,2026-03-13T11:09:29.018700
3b0a14d3,Clase_99,0.7191,2026-03-13T11:09:30.061628
c1098f10,Clase_99,0.7176,2026-03-13T11:09:34.034850
dc2354c9,Clase_99,0.721,2026-03-13T11:09:35.035844
b8d2ea8f,Clase_99,0.7261,2026-03-13T11:09:36.026229
92d3b306,Clase_99,0.7262,2026-03-13T11:09:37.372004
897085d1,Clase_99,0.7235,2026-03-13T11:09:39.059027
8009abca,Clase_99,0.726,2026-03-13T11:09:40.570865
c91b540f,Clase_99,0.7193,2026-03-13T11:09:44.087756
63e500f4,Clase_99,0.7237,2026-03-13T11:09:45.102299
7ca28da2,Clase_99,0.7254,2026-03-13T11:09:46.070832
daaa2e0b,Clase_99,0.7237,2026-03-13T11:09:47.066222
c1eec623,Clase_99,0.7252,2026-03-13T11:09:49.506167
e564db0b,Clase_99,0.7256,2026-03-13T11:09:50.199604
d416d4f4,Clase_99,0.7198,2026-03-13T11:09:53.303547
0130e8e8,Clase_99,0.7172,2026-03-13T11:09:58.228099
86dc2388,Clase_99,0.7224,2026-03-13T11:10:00.253984
c830a275,Clase_99,0.7259,2026-03-13T11:10:03.388205
39a990b6,Clase_99,0.7254,2026-03-13T11:10:05.482736
bd069748,Clase_99,0.725,2026-03-13T11:10:06.652953
a07a35e5,Clase_99,0.7254,2026-03-13T11:10:11.303483
4d4f01f1,Clase_99,0.7257,2026-03-13T11:10:12.350350
0ebbcd23,Clase_99,0.7259,2026-03-13T11:10:14.319604
a411f3f8,Clase_99,0.7224,2026-03-13T11:10:20.359673
