task_id,label,confidence,timestamp
9ea7ec31,Clase_99,0.7258,2026-03-12T17:44:48.718663
6d2792dd,Clase_99,0.7258,2026-03-12T17:44:48.806917
882545da,Clase_99,0.7252,2026-03-12T17:44:48.888288
c7775981,Clase_99,0.7194,2026-03-12T17:44:48.966835
67e0c332,Clase_99,0.726,2026-03-12T17:44:49.051686
a419ad26,Clase_99,0.7229,2026-03-12T17:44:49.131301
61b443c2,Clase_99,0.7192,2026-03-12T17:44:49.258444
91e5b52e,Clase_99,0.7226,2026-03-12T17:44:49.396064
8fd49fa9,Clase_99,0.7255,2026-03-12T17:44:49.500525
ac26d7a2,Clase_99,0.7214,2026-03-12T17:44:49.589088
a4646ea0,Clase_99,0.7195,2026-03-12T17:44:49.669323
7c840c0c,Clase_99,0.7253,2026-03-12T17:44:49.750999
d9891ce3,Clase_99,0.7248,2026-03-12T17:44:49.830035
3c68ac4f,Clase_99,0.7241,2026-03-12T17:44:49.910271
34b4ef45,Clase_99,0.7202,2026-03-12T17:44:50.050134
43e89d52,Clase_99,0.73,2026-03-12T17:44:50.130673
026790f9,Clase_99,0.7295,2026-03-12T17:44:50.211825
c68c0f2b,Clase_99,0.7254,2026-03-12T17:44:50.298432
4877c7ab,Clase_99,0.7255,2026-03-12T17:44:50.390487
13c76200,Clase_99,0.725,2026-03-12T17:44:50.471473
712a2c0e,Clase_99,0.726,2026-03-12T17:44:50.542383
9ff4cfee,Clase_99,0.718,2026-03-12T17:46:51.336183
e48bb218,Clase_99,0.7262,2026-03-12T17:46:52.361660
a642b767,Clase_99,0.7269,2026-03-12T17:46:53.351454
afca00f9,Clase_99,0.7261,2026-03-12T17:46:54.369057
88079885,Clase_99,0.7247,2026-03-12T17:46:57.362823
4a11e26e,Clase_99,0.7252,2026-03-12T17:46:58.363640
627fd483,Clase_99,0.7241,2026-03-12T17:47:00.417916
8b728b0f,Clase_99,0.7266,2026-03-12T17:47:01.410751
93eab770,Clase_99,0.723,2026-03-12T17:47:02.399788
f3ef1877,Clase_99,0.7267,2026-03-12T17:47:03.424155
c92e94f7,Clase_99,0.7248,2026-03-12T17:47:04.409717
6380ed51,Clase_99,0.721,2026-03-12T17:47:05.406187
c2235cb0,Clase_99,0.7205,2026-03-12T17:47:07.393801
c32bba89,Clase_99,0.7223,2026-03-12T17:47:12.408669
a234ba35,Clase_99,0.7249,2026-03-12T17:47:14.401696
c5416775,Clase_99,0.7239,2026-03-12T17:47:15.418232
a090a6f2,Clase_99,0.7231,2026-03-12T17:47:16.406440
0b02fd80,Clase_99,0.7229,2026-03-12T17:47:17.418844
9c73ceaa,Clase_99,0.7272,2026-03-12T17:47:18.415554
5cce7109,Clase_99,0.7239,2026-03-12T17:47:19.417089
473451df,Clase_99,0.7251,2026-03-12T17:47:24.438942
c65846a6,Clase_99,0.7256,2026-03-12T17:47:35.478350
de37cda0,Clase_99,0.7251,2026-03-12T17:47:36.471076
